YearStart,LocationDesc,Topic,Question,Data_Value_Unit,Data_Value,Data_Value_Alt,Low_Confidence_Limit,High_Confidence_Limit,Break_Out_Category,Break_Out,ClassId,TopicId,QuestionId,BreakOutCategoryId,BreakOutId,LocationId,GeoLocation,Longitude,Latitude
2019,United States,Acute Myocardial Infarction (Heart Attack),Heart attack mortality rate,"Rate per 100,000",9300.0,9300.0,8200.0,10500.0,Race,Non-Hispanic Asian,C1,T3,MD403,BOC04,RAC03,59,,,
2020,United States,Acute Myocardial Infarction (Heart Attack),Heart attack mortality rate,"Rate per 100,000",6900.0,6900.0,6800.0,7100.0,Gender,Male,C1,T3,MD403,BOC02,GEN01,59,,,
2017,Hawaii,Coronary Heart Disease,Coronary mortality rate,"Rate per 100,000",0.0,0.0,0.0,0.0,Race,Unknown,C1,T4,MD303,BOC04,RAC08,15,POINT (-157.8577494 21.30485044),-157.8577494,21.30485044
2017,Utah,Coronary Heart Disease,Coronary mortality rate,"Rate per 100,000",0.0,0.0,0.0,0.0,Race,Unknown,C1,T4,MD303,BOC04,RAC08,49,POINT (-111.5871306 39.36070017),-111.5871306,39.36070017
2017,United States,Coronary Heart Disease,Coronary mortality rate,"Rate per 100,000",2700.0,2700.0,2100.0,3300.0,Race,Unknown,C1,T4,MD303,BOC04,RAC08,59,,,
2018,Idaho,Coronary Heart Disease,Coronary mortality rate,"Rate per 100,000",0.0,0.0,-1000.0,-1000.0,Race,Hispanic,C1,T4,MD303,BOC04,RAC04,16,POINT (-114.36373 43.68263001),-114.36373,43.68263001
2018,Montana,Coronary Heart Disease,Coronary mortality rate,"Rate per 100,000",0.0,0.0,0.0,0.0,Race,Unknown,C1,T4,MD303,BOC04,RAC08,30,POINT (-109.4244206 47.06652897),-109.4244206,47.06652897
2019,Ohio,Coronary Heart Disease,Coronary mortality rate,"Rate per 100,000",4100.0,4100.0,3600.0,4600.0,Gender,Male,C1,T4,MD303,BOC02,GEN01,39,POINT (-82.40426006 40.06021014),-82.40426006,40.06021014
2020,Idaho,Coronary Heart Disease,Coronary mortality rate,"Rate per 100,000",0.0,0.0,0.0,0.0,Race,Unknown,C1,T4,MD303,BOC04,RAC08,16,POINT (-114.36373 43.68263001),-114.36373,43.68263001
2020,Iowa,Coronary Heart Disease,Coronary mortality rate,"Rate per 100,000",0.0,0.0,-1000.0,-1000.0,Race,Other,C1,T4,MD303,BOC04,RAC07,19,POINT (-93.81649056 42.46940091),-93.81649056,42.46940091
2021,Nebraska,Coronary Heart Disease,Coronary mortality rate,"Rate per 100,000",0.0,0.0,-1000.0,-1000.0,Race,Non-Hispanic Black,C1,T4,MD303,BOC04,RAC02,31,POINT (-99.36572062 41.64104099),-99.36572062,41.64104099
2019,Idaho,Heart Failure,Heart faliure mortality rate,"Rate per 100,000",0.0,0.0,0.0,0.0,Race,Unknown,C1,T5,MD503,BOC04,RAC08,16,POINT (-114.36373 43.68263001),-114.36373,43.68263001
2019,United States,Heart Failure,Heart faliure mortality rate,"Rate per 100,000",3900.0,3900.0,2100.0,7300.0,Race,Unknown,C1,T5,MD503,BOC04,RAC08,59,,,
2021,Idaho,Heart Failure,Heart faliure mortality rate,"Rate per 100,000",0.0,0.0,-1000.0,-1000.0,Race,Other,C1,T5,MD503,BOC04,RAC07,16,POINT (-114.36373 43.68263001),-114.36373,43.68263001
