YearStart,LocationDesc,Topic,Question,Data_Value_Unit,Data_Value,Data_Value_Alt,Low_Confidence_Limit,High_Confidence_Limit,Break_Out_Category,Break_Out,ClassId,TopicId,QuestionId,BreakOutCategoryId,BreakOutId,LocationId,GeoLocation,Longitude,Latitude
2016,United States,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",2367.6,2367.6,2318.3,2417.9,Race,Unknown,C1,T1,MD101,BOC04,RAC08,59,,,
2017,United States,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",2403.7,2403.7,2358.1,2450.2,Race,Unknown,C1,T1,MD101,BOC04,RAC08,59,,,
2018,United States,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",2482.3,2482.3,2438.9,2526.4,Race,Unknown,C1,T1,MD101,BOC04,RAC08,59,,,
2019,United States,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",5395.0,5395.0,5381.7,5408.2,Gender,Male,C1,T1,MD101,BOC02,GEN01,59,,,
2020,United States,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",4505.4,4505.4,4493.3,4517.5,Gender,Male,C1,T1,MD101,BOC02,GEN01,59,,,
2021,United States,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",4694.6,4694.6,4682.0,4707.2,Gender,Male,C1,T1,MD101,BOC02,GEN01,59,,,
2017,United States,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",1782.3,1782.3,1743.0,1822.4,Race,Unknown,C1,T2,MD201,BOC04,RAC08,59,,,
2021,United States,Diseases of the Heart (Heart Disease),heart disease hospitalization rate,"Rate per 100,000",1831.9,1831.9,1798.8,1865.7,Race,Unknown,C1,T2,MD201,BOC04,RAC08,59,,,
2018,Nevada,Coronary Heart Disease,Coronary hospitalization rate,"Rate per 100,000",1173.9,1173.9,1104.0,1248.1,Age,75+,C1,T4,MD301,BOC03,AGE08,32,POINT (-117.0718406 39.49324039),-117.0718406,39.49324039
2018,United States,Coronary Heart Disease,Coronary hospitalization rate,"Rate per 100,000",953.1,953.1,928.4,978.5,Race,Other,C1,T4,MD301,BOC04,RAC07,59,,,
2020,Colorado,Coronary Heart Disease,Coronary hospitalization rate,"Rate per 100,000",569.4,569.4,404.8,800.9,Race,Other,C1,T4,MD301,BOC04,RAC07,8,POINT (-106.1336109 38.84384076),-106.1336109,38.84384076
2020,Texas,Coronary Heart Disease,Coronary hospitalization rate,"Rate per 100,000",980.8,980.8,958.7,1003.4,Age,75+,C1,T4,MD301,BOC03,AGE08,48,POINT (-99.42677021 31.82724041),-99.42677021,31.82724041
2017,New York,Heart Failure,Heart Faliure hospitalization rate,"Rate per 100,000",422.1,422.1,407.0,437.7,Age,75+,C1,T5,MD501,BOC03,AGE08,36,POINT (-75.54397043 42.82700103),-75.54397043,42.82700103
2021,United States,Heart Failure,Heart Faliure hospitalization rate,"Rate per 100,000",83.4,83.4,76.2,91.3,Race,Other,C1,T5,MD501,BOC04,RAC07,59,,,
2020,New Mexico,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",1810.1,1810.1,1419.4,2308.2,Race,Unknown,C1,T1,MD101,BOC04,RAC08,35,POINT (-106.240581 34.52088095),-106.240581,34.52088095
2017,Maine,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",3076.9,3076.9,1822.3,5195.3,Race,Non-Hispanic Asian,C1,T1,MD101,BOC04,RAC03,23,POINT (-68.98503134 45.25422889),-68.98503134,45.25422889
2017,Washington,Major Cardiovascular Disease,Major hospitalization rate,"Rate per 100,000",4650.5,4650.5,4572.3,4730.1,Gender,Male,C1,T1,MD101,BOC02,GEN01,53,POINT (-120.4700108 47.52227863),-120.4700108,47.52227863
